Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GS:GP,FPts/90,Ghosts/90,GPR,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN,FP/G,FPTS/GS
Yves Bissouma,TOT,M,10,61.25,52.0,9.25,79.75,73.0,6.75,-21.5,-24.0,2.5,0.90,7.67,9.98,1.3,87,9,9,0,5,0,3,19,4,1,0,15,14,3,69,42,13,0,0,0,0,8,3,0.0,29.0,0.0,0.0,719,6.81,6.81
Gustavo Hamer,SHU,M,10,60.75,70.0,-9.25,53.0,57.0,-4.0,-11.25,-6.0,-5.25,0.90,7.57,6.6,0.87,111,9,9,2,12,0,5,8,1,0,4,5,8,1,25,41,10,0,0,0,0,19,1,2.0,14.0,2.0,0.0,723,6.75,6.75
Marcus Rashford,MUN,F,10,60.75,81.5,-20.75,54.0,71.5,-17.5,-16.25,-11.0,-5.25,1.00,6.5,5.78,0.89,26,10,10,1,12,2,7,2,1,0,0,0,5,1,41,61,9,0,0,1,0,16,2,2.0,7.0,2.0,0.0,841,6.08,6.08
Diogo Dalot,MUN,D,10,60.5,57.0,3.5,66.25,74.5,-8.25,-6.75,-33.5,26.75,0.80,7.32,8.02,1.1,51,8,9,1,9,0,2,7,1,0,10,9,22,1,42,23,13,0,0,0,0,15,1,1.0,11.0,0.0,0.0,743,6.72,7.56
Leon Bailey,AVL,F,10,60.5,66.5,-6.0,26.5,32.5,-6.0,-7.0,-5.0,-2.0,0.20,20.72,9.08,0.44,200,2,8,3,6,2,3,0,1,0,3,3,1,0,13,24,7,0,0,0,0,5,1,5.0,8.0,0.0,0.0,263,7.56,30.25
Max Kilman,WOL,D,10,60.5,49.25,11.25,79.25,83.75,-4.5,-8.75,-40.5,31.75,1.00,6.05,7.92,1.31,200,10,10,0,5,0,2,8,2,0,1,13,47,9,45,27,36,0,0,0,0,17,1,0.0,15.0,0.0,0.0,900,6.05,6.05
Enzo Fernandez,CHE,M,9,59.75,57.0,2.75,74.0,68.5,5.5,-18.25,-15.5,-2.75,0.90,6.94,8.59,1.24,137,9,9,0,13,0,6,9,3,0,3,4,6,4,41,49,46,0,1,0,0,8,4,0.0,18.0,1.0,0.0,775,6.64,6.64
Kurt Zouma,WHU,D,10,59.0,54.75,4.25,66.5,74.75,-8.25,-6.5,-36.0,29.5,1.00,5.9,6.65,1.13,200,10,10,1,1,0,3,5,1,0,0,13,59,7,35,22,19,0,0,0,0,17,1,1.0,7.0,0.0,0.0,900,5.9,5.9
Axel Disasi,CHE,D,10,58.75,57.5,1.25,43.0,50.5,-7.5,-7.25,-21.0,13.75,0.90,6.73,4.93,0.73,200,9,9,1,2,0,2,1,2,0,0,4,22,7,34,21,12,0,0,0,0,8,3,1.0,11.0,3.0,0.0,786,6.53,6.53
Cheick Doucoure,CRY,M,10,58.75,63.5,-4.75,66.5,68.0,-1.5,-10.75,-7.5,-3.25,0.90,6.54,7.41,1.13,200,9,9,0,8,0,2,17,2,0,0,18,8,2,45,35,6,0,0,0,0,12,3,0.0,14.0,0.0,0.0,808,6.53,6.53
Pervis Estupinan,BHA,D,7,58.25,62.75,-4.5,50.25,61.75,-11.5,-14.0,-30.0,16.0,0.60,10.59,9.14,0.86,30,6,6,1,13,3,4,3,2,0,6,8,7,1,19,28,6,0,0,0,1,10,0,4.0,15.0,1.0,0.0,495,9.71,9.71
Bernardo Silva,MCI,M,10,57.75,61.0,-3.25,40.25,46.0,-5.75,-7.5,-8.0,0.5,0.60,9.44,6.58,0.7,94,6,7,1,13,2,2,5,2,0,5,0,1,2,18,22,18,0,0,0,0,4,2,3.0,9.0,0.0,0.0,551,8.25,9.62
Vitalii Mykolenko,EVE,D,10,57.5,55.5,2.0,55.0,55.5,-0.5,-7.5,-12.0,4.5,0.60,9.63,9.21,0.96,112,6,6,0,4,0,1,17,0,0,2,10,18,3,36,30,12,0,0,0,0,5,2,0.0,7.0,0.0,0.0,537,9.58,9.58
Lyle Foster,BUR,F,9,57.25,50.0,-4.75,38.25,31.0,1.75,-22.0,-11.0,-8.5,0.70,8.52,5.69,0.67,120,7,7,3,6,2,5,1,0,1,0,1,11,1,31,60,6,0,0,0,0,19,1,4.0,15.0,7.0,0.0,605,8.18,8.18
Willian,FUL,F,10,57.0,63.0,-6.0,52.0,55.5,-3.5,-11.0,-7.5,-3.5,0.70,8.35,7.61,0.91,72,7,9,1,12,1,7,1,1,0,2,4,3,0,28,40,19,0,0,0,0,8,2,1.0,8.0,0.0,0.0,615,6.33,8.14
Tim Ream,FUL,D,10,56.75,44.5,12.25,57.0,51.0,6.0,-15.25,-34.5,19.25,0.90,6.52,6.55,1.0,200,9,9,1,0,0,1,8,1,1,0,13,28,4,32,25,44,1,0,0,0,12,3,1.0,15.0,0.0,0.0,783,6.31,6.31
Scott McTominay,MUN,M,10,56.75,59.0,-2.25,34.5,32.5,2.0,-5.75,-1.5,-4.25,0.40,15.34,9.32,0.61,132,4,7,3,1,0,6,7,0,0,0,4,6,3,17,19,4,1,0,0,0,7,1,3.0,6.0,2.0,0.0,333,8.11,14.19
Boubacar Kamara,AVL,M,10,56.5,62.0,-5.5,69.75,67.0,2.75,-16.25,-8.0,-8.25,1.00,6.04,7.45,1.23,200,10,10,0,13,0,0,18,3,0,0,9,5,3,58,53,22,0,0,0,0,13,3,0.0,28.0,0.0,0.0,842,5.65,5.65
Nayef Aguerd,WHU,D,10,55.5,43.75,11.75,70.0,67.25,2.75,-13.5,-39.5,26.0,0.90,6.36,8.02,1.26,200,9,9,1,1,0,2,4,0,1,0,13,37,13,36,22,39,1,0,0,0,16,1,1.0,13.0,0.0,0.0,786,6.17,6.17
Vinicius de Souza Costa,SHU,M,10,55.25,44.5,10.75,66.25,51.5,14.75,-11.0,-7.0,-4.0,0.90,6.33,7.59,1.2,200,9,10,0,1,0,2,13,2,0,0,12,21,4,61,36,12,0,0,0,0,27,0,0.0,17.0,0.0,0.0,786,5.52,6.14
Oliver Norwood,SHU,M,10,55.0,50.0,5.0,67.0,57.5,9.5,-12.0,-7.5,-4.5,0.80,7.08,8.62,1.22,200,8,9,0,8,0,3,15,3,0,1,11,19,4,30,32,39,1,0,0,0,23,0,0.0,14.0,0.0,0.0,699,6.11,6.88
Oleksandr Zinchenko,ARS,D,10,55.0,48.75,6.25,37.75,38.75,-1.0,-4.75,-14.0,9.25,0.70,8.91,6.12,0.69,134,7,9,0,8,0,1,10,1,0,0,6,3,0,24,15,16,0,0,0,0,5,4,0.0,5.0,1.0,0.0,555,6.11,7.86
Luis Diaz,LIV,F,9,54.75,67.0,-12.25,44.25,49.5,-5.25,-14.5,-6.5,-8.0,0.80,7.9,6.39,0.81,28,8,9,2,7,1,4,9,0,0,0,1,0,0,44,58,7,0,0,0,0,7,2,2.0,16.0,5.0,0.0,624,6.08,6.84
Sven Botman,NEW,D,6,54.5,54.75,-0.25,29.75,33.75,-4.0,-3.25,-8.0,4.75,0.50,10.99,6.0,0.55,129,5,5,1,2,1,1,5,1,0,0,4,15,3,20,9,10,0,0,0,0,3,2,2.0,5.0,1.0,0.0,446,10.9,10.9
Nicolas Jackson,CHE,F,10,54.25,62.5,-8.25,53.0,62.5,-9.5,-16.75,-18.0,1.25,0.70,7.32,7.15,0.98,67,7,9,2,8,0,9,5,5,0,0,2,6,2,38,47,0,0,0,0,0,9,3,2.0,23.0,7.0,0.0,667,6.03,7.75
Mario Lemina,WOL,M,10,53.75,54.0,-0.25,65.25,61.0,4.25,-21.5,-17.0,-4.5,0.90,6.12,7.43,1.21,200,9,9,1,3,0,3,16,4,1,1,17,14,2,44,42,11,0,0,0,0,14,1,1.0,31.0,0.0,0.0,790,5.97,5.97
Antonee Robinson,FUL,D,10,53.5,49.75,3.75,78.0,81.75,-3.75,-18.5,-44.0,25.5,0.90,5.94,8.67,1.46,130,9,9,0,6,0,0,14,2,0,5,21,19,1,56,46,21,0,0,0,1,16,2,0.0,18.0,1.0,0.0,810,5.94,5.94
Alexis Mac Allister,LIV,M,10,53.0,48.5,4.5,68.0,60.0,8.0,-25.0,-20.5,-4.5,1.00,6.04,7.74,1.28,110,10,10,0,7,1,1,14,4,1,0,14,4,4,56,56,20,0,0,0,0,8,3,1.0,37.0,0.0,0.0,790,5.3,5.3
Emerson,WHU,D,9,53.0,39.0,14.0,61.0,63.0,-2.0,-12.0,-44.0,32.0,0.90,5.89,6.78,1.15,200,9,9,0,7,2,0,12,5,0,3,12,24,2,44,28,4,0,0,1,0,16,1,1.0,25.0,0.0,0.0,810,5.89,5.89
Ryan Christie,BOU,M,10,52.25,59.5,-7.25,57.75,58.5,-0.75,-13.5,-6.0,-7.5,0.90,6.8,7.52,1.11,200,9,10,0,10,1,5,5,0,0,4,7,7,1,35,50,16,1,0,0,0,16,1,1.0,11.0,1.0,0.0,691,5.22,5.81
Billy Gilmour,BHA,M,10,52.0,57.5,-5.5,37.5,42.0,-4.5,-7.5,-3.5,-4.0,0.50,9.89,7.13,0.72,200,5,9,0,11,3,2,8,1,0,2,1,4,2,18,26,14,0,0,0,0,11,1,1.0,9.0,0.0,0.0,473,5.78,10.4
Fabio Vieira,ARS,M,10,51.0,48.5,2.5,23.0,22.0,1.0,-3.0,-1.5,-1.5,0.20,23.18,10.45,0.45,200,2,6,1,3,3,2,2,0,0,2,2,1,0,13,12,1,0,0,2,0,2,1,3.0,5.0,1.0,1.0,198,8.5,25.5
Michail Antonio,WHU,F,10,51.0,58.0,-7.0,42.25,45.0,-2.75,-16.25,-11.0,-5.25,1.00,6.23,5.16,0.83,200,10,10,2,4,1,4,3,2,0,0,1,1,3,47,57,4,0,0,0,0,11,4,3.0,18.0,5.0,0.0,737,5.1,5.1
Serge Aurier,NOT,D,10,50.75,49.25,1.5,54.75,62.25,-7.5,-12.0,-33.0,21.0,0.90,6.45,6.96,1.08,200,9,9,0,4,2,1,10,2,0,4,7,25,2,46,40,6,0,0,0,0,13,1,2.0,13.0,0.0,0.0,708,5.64,5.64
Pau Torres,AVL,D,10,50.5,45.5,5.0,43.75,47.5,-3.75,-6.25,-24.0,17.75,0.90,5.24,4.54,0.87,200,9,10,1,3,0,2,5,0,0,1,4,18,4,29,25,25,0,0,0,0,12,2,1.0,7.0,1.0,0.0,868,5.05,5.61
Dwight McNeil,EVE,M,10,50.25,61.0,-10.75,49.75,60.0,-10.25,-8.5,-7.0,-1.5,0.60,9.07,8.98,0.99,24,6,7,0,13,1,3,5,0,0,6,5,4,2,28,34,1,0,0,0,0,4,2,1.0,3.0,1.0,0.0,499,7.18,8.38
Vitaly Janelt,BRF,M,10,50.25,52.0,-1.75,48.0,47.0,1.0,-8.75,-5.0,-3.75,1.00,5.7,5.45,0.96,200,10,10,0,10,1,3,8,2,0,1,5,10,1,30,27,14,0,0,0,0,7,4,1.0,13.0,1.0,0.0,793,5.03,5.03
Andreas Pereira,FUL,M,10,50.0,57.0,-7.0,36.5,44.0,-7.5,-12.5,-11.0,-1.5,0.80,7.22,5.27,0.73,102,8,10,1,14,2,3,0,2,0,1,1,4,0,19,42,16,0,0,0,0,11,3,2.0,13.0,1.0,0.0,624,5.0,6.25
Ruben Dias,MCI,D,10,50.0,39.0,11.0,42.75,38.5,4.25,-8.75,-17.5,8.75,0.80,6.13,5.24,0.86,200,8,9,0,1,0,3,4,0,0,1,10,18,3,20,15,21,0,0,0,1,6,3,0.0,6.0,0.0,0.0,734,5.56,6.25
Dominic Calvert-Lewin,EVE,F,10,49.75,61.5,-11.75,35.25,38.0,-2.75,-12.5,-3.5,-9.0,0.50,11.03,7.82,0.71,61,5,7,3,3,0,5,1,0,0,0,1,5,1,36,50,2,0,0,0,0,5,3,3.0,4.0,3.0,0.0,406,7.11,9.95
Bobby De Cordova-Reid,FUL,F,10,49.5,47.5,2.0,31.5,27.5,4.0,-7.0,-4.0,-3.0,0.70,8.08,5.14,0.64,200,7,9,2,3,1,3,9,1,0,0,0,5,1,30,24,3,0,0,0,0,12,1,2.0,9.0,1.0,0.0,552,5.5,7.07
Gabriel Magalhaes,ARS,D,9,49.25,44.25,5.0,41.0,38.25,2.75,-5.75,-12.0,6.25,0.60,7.89,6.57,0.83,116,6,8,0,0,0,0,4,1,0,0,10,9,9,28,19,15,0,0,0,0,5,3,0.0,10.0,0.0,0.0,562,6.16,8.21
Josh Cullen,BUR,M,10,48.75,28.0,20.75,55.25,34.5,20.75,-13.5,-12.5,-1.0,1.00,5.23,5.93,1.13,200,10,10,0,6,1,0,11,5,0,1,7,11,7,45,34,14,0,0,0,0,22,0,1.0,27.0,0.0,0.0,839,4.68,4.88
Lewis Dunk,BHA,D,10,48.75,29.25,19.5,66.0,61.75,4.25,-8.25,-42.5,34.25,1.00,4.88,6.6,1.35,200,10,10,1,3,0,2,5,2,0,1,8,23,10,36,21,55,1,0,0,0,19,0,1.0,11.0,0.0,0.0,900,4.88,4.88
Miguel Almiron,NEW,M,10,47.75,49.0,-1.25,35.25,34.5,0.75,-7.5,-5.5,-2.0,0.80,6.6,4.88,0.74,77,8,10,2,4,0,5,6,1,0,0,5,4,0,22,26,5,0,0,0,0,8,2,2.0,7.0,2.0,0.0,651,4.78,5.97
Josh Brownhill,BUR,M,10,47.5,42.0,5.5,46.0,37.0,9.0,-7.5,-4.0,-3.5,0.60,7.08,6.86,0.97,141,6,9,1,9,0,1,13,1,0,0,8,11,2,27,26,9,0,0,0,0,15,0,1.0,9.0,1.0,0.0,604,5.41,7.92
Zeki Amdouni,BUR,F,10,47.25,42.5,4.75,51.25,37.5,13.75,-13.0,-4.0,-9.0,0.90,7.28,7.9,1.08,200,9,9,1,4,0,7,6,1,0,0,3,4,3,44,48,5,0,0,0,0,14,1,1.0,10.0,0.0,0.0,584,5.28,5.25
Nelson Semedo,WOL,D,10,46.5,35.5,11.0,70.75,72.5,-1.75,-14.25,-43.0,28.75,0.90,5.21,7.93,1.52,200,9,9,0,3,0,1,15,4,0,4,13,26,4,54,41,15,0,0,0,0,16,1,0.0,30.0,0.0,0.0,803,5.17,5.17
Kristoffer Ajer,BRF,D,10,46.5,51.0,-4.5,38.5,49.5,-11.0,-5.0,-17.5,12.5,0.50,9.05,7.49,0.83,200,5,8,0,5,1,1,7,1,0,1,3,18,1,32,16,10,0,0,0,0,7,2,1.0,9.0,1.0,0.0,463,5.81,9.3
Mykhailo Mudryk,CHE,M,9,46.25,50.0,-3.75,24.0,27.0,-3.0,-5.75,-4.0,-1.75,0.40,13.72,7.12,0.52,97,4,8,2,5,1,2,4,1,0,2,1,2,0,18,19,2,0,0,0,0,2,3,2.0,5.0,0.0,0.0,303,5.78,11.56
Marvelous Nakamba,LUT,M,10,45.75,46.5,-0.75,60.75,52.0,8.75,-15.0,-5.5,-9.5,1.00,4.65,6.18,1.33,200,10,10,0,7,0,0,22,3,0,1,8,7,3,51,48,14,0,0,0,0,20,0,0.0,23.0,0.0,0.0,885,4.53,4.58
Tom Lockyer,LUT,D,10,45.5,30.75,14.75,64.75,55.25,9.5,-15.25,-41.5,26.25,0.90,5.35,7.62,1.42,200,9,9,1,2,1,1,10,2,0,0,9,34,7,45,29,35,1,0,0,1,18,0,2.0,14.0,0.0,0.0,765,4.61,5.06
Chris Wood,NOT,F,9,45.5,52.0,-6.5,25.25,27.5,-2.25,-6.75,-2.5,-4.25,0.20,18.13,10.06,0.55,200,2,9,3,5,0,5,1,0,0,0,1,4,0,15,27,1,0,0,0,0,2,1,3.0,3.0,1.0,0.0,226,5.06,22.75
Marcus Tavernier,BOU,M,10,45.25,54.5,-9.25,45.75,53.0,-7.25,-8.5,-5.5,-3.0,0.60,8.94,9.04,1.01,81,6,7,0,6,1,4,7,0,0,2,2,3,1,43,34,4,0,0,0,0,11,1,1.0,4.0,1.0,0.0,455,6.46,7.54
Joel Veltman,BHA,D,10,45.25,25.75,19.5,58.5,48.25,10.25,-8.25,-29.5,21.25,0.50,7.11,9.2,1.29,200,5,10,0,2,1,2,18,1,0,0,7,17,5,48,29,13,0,0,0,0,13,0,1.0,13.0,0.0,0.0,572,4.53,9.05
Manuel Akanji,MCI,D,9,45.0,36.25,8.75,41.25,38.25,3.0,-12.25,-20.0,7.75,0.70,6.45,5.91,0.92,200,7,7,0,4,0,1,8,1,1,0,6,13,5,25,17,18,0,0,0,0,5,3,0.0,15.0,0.0,0.0,628,6.43,6.43
Reece Burke,LUT,D,9,45.0,32.25,12.75,56.0,53.75,2.25,-8.0,-21.5,13.5,0.70,6.83,8.5,1.24,200,7,8,0,6,1,1,7,1,0,1,7,24,6,42,28,14,0,0,0,0,12,0,0.0,5.0,0.0,0.0,593,5.36,6.43
Antoine Semenyo,BOU,F,10,44.25,50.5,-6.25,30.25,35.0,-4.75,-11.0,-8.5,-2.5,0.40,12.5,8.55,0.68,200,4,7,2,3,1,6,2,1,0,2,2,1,0,20,40,0,0,0,0,0,9,0,2.0,12.0,0.0,0.0,319,6.32,11.06
Chiedozie Ogbene,LUT,F,10,44.0,44.5,-0.5,41.5,37.5,4.0,-6.5,-2.0,-4.5,0.60,6.7,6.32,0.94,200,6,10,1,8,0,1,7,0,0,0,1,8,1,46,26,4,0,0,0,0,13,0,1.0,0.0,1.0,0.0,591,4.5,7.33
Kai Havertz,ARS,F,10,43.75,44.0,-0.25,40.75,38.0,2.75,-13.0,-9.0,-4.0,0.60,7.03,6.55,0.93,135,6,10,1,8,1,1,5,3,0,0,5,4,1,41,40,3,0,0,0,0,4,3,2.0,21.0,2.0,1.0,560,4.38,7.29
Oliver McBurnie,SHU,F,9,43.5,49.0,-5.5,48.5,46.5,2.0,-21.0,-12.5,-8.5,0.50,9.18,10.23,1.11,114,5,6,1,4,1,7,1,1,1,1,2,9,1,47,52,1,0,0,0,0,11,0,2.0,15.0,3.0,1.0,427,7.25,8.7
Jacob Murphy,NEW,M,9,43.5,44.5,-1.0,13.75,18.0,-4.25,-1.25,-1.5,0.25,0.10,38.84,12.28,0.32,200,1,4,1,4,3,2,2,0,0,1,0,2,0,6,5,1,0,0,0,0,1,1,4.0,1.0,0.0,0.0,101,10.88,43.5
Cody Gakpo,LIV,F,10,43.25,47.5,-4.25,32.0,30.5,1.5,-6.75,-1.0,-5.75,0.50,11.2,8.29,0.74,74,5,8,2,4,0,4,2,0,0,0,2,4,1,30,27,0,0,0,0,0,5,0,2.0,9.0,1.0,0.0,347,5.41,8.65
Christian Eriksen,MUN,M,10,43.25,47.0,-3.75,32.75,35.5,-2.75,-5.5,-3.5,-2.0,0.40,8.07,6.11,0.76,200,4,9,1,7,1,2,7,0,0,1,3,4,4,13,22,11,0,0,0,0,12,0,2.0,4.0,0.0,0.0,482,4.81,10.81
Jack Harrison,EVE,M,10,41.75,43.5,-1.75,22.0,21.5,0.5,-5.25,-1.0,-4.25,0.30,14.6,7.69,0.53,70,3,4,1,4,2,2,2,0,0,2,1,3,0,18,21,1,0,0,0,0,0,2,3.0,4.0,0.0,0.0,257,10.44,13.92
Edson Alvarez,WHU,M,10,41.25,31.0,10.25,50.25,37.0,13.25,-17.0,-13.0,-4.0,0.80,5.47,6.66,1.22,200,8,9,0,2,1,1,9,5,0,0,5,28,4,40,44,23,1,0,0,0,13,1,1.0,30.0,0.0,0.0,679,4.58,5.16
Timothy Castagne,FUL,D,10,40.75,34.75,6.0,39.5,39.75,-0.25,-6.75,-17.0,10.25,0.60,6.59,6.39,0.97,200,6,7,0,4,0,1,5,1,0,3,8,7,2,25,23,15,0,0,0,0,7,2,0.0,12.0,0.0,0.0,556,5.82,6.79
Moises Caicedo,CHE,M,10,40.5,34.5,6.0,48.25,38.5,9.75,-9.75,-6.0,-3.75,0.70,5.88,7.0,1.19,200,7,8,0,3,0,1,9,2,0,0,6,6,5,40,27,25,1,0,0,0,7,2,0.0,18.0,0.0,0.0,620,5.06,5.79
Elliot Anderson,NEW,M,9,40.5,46.0,-5.5,38.75,42.0,-3.25,-8.25,-5.0,-3.25,0.40,9.08,8.69,0.96,200,4,9,0,6,1,3,6,0,0,2,2,6,3,29,33,3,0,0,0,0,5,3,1.0,6.0,0.0,0.0,401,4.5,10.12
Issa Kabore,LUT,D,10,40.25,20.5,19.75,51.75,43.0,8.75,-10.5,-29.5,19.0,0.70,6.04,7.77,1.29,200,7,9,0,6,1,0,7,3,0,9,10,9,2,35,30,6,0,0,0,0,12,0,0.0,19.0,0.0,0.0,599,4.31,5.75
Joseph Gomez,LIV,D,10,40.0,38.5,1.5,39.75,41.5,-1.75,-5.75,-9.0,3.25,0.40,8.37,8.32,0.99,200,4,9,0,5,0,0,6,1,0,2,7,14,1,31,19,11,0,0,0,0,3,1,0.0,8.0,0.0,0.0,430,4.44,10.0
Jefferson Lerma,CRY,M,10,40.0,45.0,-5.0,45.75,46.0,-0.25,-6.75,-2.0,-4.75,0.60,6.87,7.86,1.14,140,6,6,0,7,0,2,6,0,0,0,10,12,1,34,27,3,0,0,0,0,10,1,0.0,9.0,0.0,0.0,524,6.67,6.67
Gabriel Jesus,ARS,F,9,40.0,44.5,-4.5,38.25,41.5,-3.25,-14.25,-12.0,-2.25,0.40,10.0,9.56,0.96,40,4,7,1,4,1,3,7,2,0,0,4,2,0,40,49,1,0,0,0,0,4,2,1.0,17.0,2.0,0.0,360,5.71,10.0
Malo Gusto,CHE,D,9,40.0,37.0,3.0,30.75,29.5,1.25,-12.75,-18.5,5.75,0.60,7.23,5.56,0.77,200,6,7,0,3,2,0,7,0,1,2,3,6,1,31,23,5,0,0,0,0,5,2,2.0,14.0,1.0,0.0,498,5.71,6.67
Nathan Ake,MCI,D,9,40.0,36.75,3.25,29.0,30.75,-1.75,-2.0,-10.0,8.0,0.50,7.81,5.66,0.72,200,5,8,1,1,0,2,6,0,0,0,5,7,0,27,8,3,0,0,0,0,5,1,1.0,3.0,0.0,0.0,461,5.0,8.0
Nicolas Dominguez,NOT,M,10,39.5,31.0,8.5,33.25,23.0,10.25,-4.75,-3.0,-1.75,0.50,8.8,7.41,0.84,149,5,5,1,0,0,3,11,1,0,0,2,10,0,30,15,9,0,0,0,0,5,2,1.0,7.0,0.0,0.0,404,7.9,7.9
Jeffrey Schlupp,CRY,M,10,39.0,46.0,-7.0,44.0,48.0,-4.0,-8.0,-5.0,-3.0,0.90,5.64,6.36,1.13,200,9,9,0,10,0,3,7,0,0,0,2,6,1,39,32,2,0,0,0,0,7,3,0.0,8.0,0.0,0.0,623,4.33,4.33
Harry Wilson,FUL,M,10,39.0,40.0,-1.0,37.0,37.0,0.0,-7.0,-5.0,-2.0,0.60,6.48,6.15,0.95,200,6,10,0,7,1,3,5,1,0,4,2,0,0,27,24,8,0,0,0,0,10,2,1.0,9.0,1.0,0.0,542,3.9,6.5
Illia Zabarnyi,BOU,D,10,38.75,30.75,8.0,66.5,71.25,-4.75,-9.75,-46.5,36.75,1.00,3.88,6.65,1.72,200,10,10,0,0,0,1,10,2,0,0,11,37,11,49,31,15,0,0,0,0,21,1,0.0,11.0,0.0,0.0,900,3.88,3.88
Leandro Trossard,ARS,M,10,38.75,44.5,-5.75,21.25,27.0,-5.75,-1.5,-1.5,0.0,0.20,17.0,9.32,0.55,107,2,6,2,7,0,2,3,0,0,2,2,1,0,8,6,2,0,0,0,0,2,1,2.0,0.0,2.0,0.0,205,6.46,19.38
Ben Chilwell,CHE,D,6,38.5,40.75,-2.25,35.75,45.75,-10.0,-8.25,-18.0,9.75,0.40,10.46,9.71,0.93,126,4,6,0,9,1,2,4,3,0,5,3,3,0,23,21,2,0,0,0,0,5,1,1.0,15.0,1.0,0.0,331,6.42,9.62
Issa Diop,FUL,D,8,38.5,27.5,11.0,44.75,41.0,3.75,-8.25,-31.5,23.25,0.80,4.95,5.75,1.16,200,8,8,0,0,0,1,6,2,0,0,7,36,4,28,21,23,1,0,0,0,13,3,0.0,14.0,0.0,0.0,700,4.81,4.81
Rayan Ait-Nouri,WOL,D,10,38.25,25.0,13.25,63.0,63.5,-0.5,-14.75,-38.5,23.75,0.90,4.96,8.17,1.65,200,9,10,0,5,0,0,15,3,0,0,9,14,5,62,47,8,0,0,0,0,12,0,0.0,19.0,1.0,0.0,694,3.82,4.25
Nathan Patterson,EVE,D,10,37.75,33.75,4.0,43.25,44.25,-1.0,-8.5,-23.5,15.0,0.50,6.54,7.5,1.15,200,5,9,0,5,1,0,14,1,0,4,6,9,2,26,30,16,0,0,0,0,10,1,1.0,8.0,0.0,0.0,519,4.19,7.55
Sander Berge,BUR,M,10,37.25,24.5,12.75,41.25,33.0,8.25,-11.0,-8.5,-2.5,0.70,5.57,6.17,1.11,200,7,10,0,5,1,1,4,2,0,0,4,8,5,36,36,13,0,0,0,0,18,0,0.0,15.0,0.0,0.0,602,3.0,5.32
Manor Solomon,TOT,F,7,37.0,52.0,-15.0,27.25,43.0,-15.75,-4.25,-3.0,-1.25,0.20,17.29,12.73,0.74,200,2,5,0,12,2,1,3,1,0,1,3,1,0,14,13,2,0,0,0,0,2,0,2.0,5.0,1.0,0.0,193,7.4,18.5
Joao Gomes,WOL,M,10,37.0,34.5,2.5,46.25,39.5,6.75,-17.25,-12.0,-5.25,0.90,4.95,6.19,1.25,200,9,10,0,4,1,0,17,3,0,2,4,7,1,46,53,8,1,0,0,0,14,1,0.0,28.0,0.0,0.0,672,3.7,4.11
Rico Henry,BRF,D,5,36.25,34.75,1.5,32.75,37.25,-4.5,-5.5,-15.5,10.0,0.50,8.13,7.34,0.9,200,5,5,0,5,1,0,5,1,0,2,5,5,3,24,18,8,0,0,0,0,5,1,1.0,7.0,2.0,0.0,401,7.25,7.25
Mads Andersen,LUT,D,8,35.25,32.0,3.25,33.75,36.0,-2.25,-3.5,-14.0,10.5,0.40,8.58,8.21,0.96,200,4,6,1,0,0,1,5,1,0,0,8,24,5,17,10,7,0,0,0,0,6,0,1.0,8.0,0.0,0.0,370,5.88,8.81
Will Hughes,CRY,M,10,35.25,35.0,0.25,42.5,42.5,0.0,-10.25,-10.5,0.25,0.60,6.36,7.67,1.21,200,6,7,0,8,0,2,8,2,0,0,5,12,5,26,33,2,0,0,0,0,10,3,0.0,15.0,0.0,0.0,499,5.04,5.88
Joel Matip,LIV,D,9,35.0,35.0,0.0,40.5,47.5,-7.0,-9.5,-18.5,9.0,0.60,5.94,6.88,1.16,200,6,7,0,1,0,0,4,0,0,0,8,30,4,32,18,8,0,0,0,1,6,1,0.0,3.0,1.0,0.0,530,5.0,5.83
Aaron Wan-Bissaka,MUN,D,5,34.75,34.75,0.0,33.5,38.75,-5.25,-5.75,-17.0,11.25,0.40,9.22,8.89,0.96,122,4,5,0,4,1,0,8,2,0,1,7,15,2,22,15,3,0,0,0,0,6,1,1.0,12.0,0.0,0.0,339,6.95,8.69
Jack Grealish,MCI,M,10,34.5,35.5,-1.0,30.75,35.5,-4.75,-5.25,-8.0,2.75,0.30,10.68,9.52,0.89,27,3,6,0,8,1,1,5,2,0,1,4,2,1,22,13,3,0,0,0,0,1,2,1.0,7.0,0.0,0.0,291,5.75,11.5
Sandro Tonali,NEW,M,9,34.0,38.5,-4.5,30.75,33.5,-2.75,-6.75,-5.0,-1.75,0.50,7.08,6.41,0.9,200,5,8,1,7,0,2,7,2,0,3,2,4,0,17,19,7,0,0,0,0,5,1,1.0,15.0,0.0,0.0,432,4.25,6.8
Harrison Reed,FUL,M,10,33.75,37.5,-3.75,31.5,33.5,-2.0,-7.75,-5.0,-2.75,0.70,5.38,5.02,0.93,200,7,10,0,8,1,0,7,1,0,2,2,5,3,21,27,5,0,0,0,0,11,3,1.0,10.0,0.0,0.0,564,3.38,4.82
